CPU Total,CPU Package Temperature,Memory,Used Memory,Temperature,Used Space
57.03125,44,57.7999458,2.2633667,37,92.1199646
44.53125,45,57.37219,2.24661636,37,92.1199646
29.296875,46,57.36225,2.24622726,37,92.1199646
14.84375,46,57.3512459,2.2457962,37,92.1199646
40.234375,47,57.3373146,2.2452507,37,92.1199646
35.384613,45,57.3377037,2.245266,37,92.1199646
12.6923084,45,57.330204,2.24497223,37,92.1199646
16.53846,45,56.9619675,2.23055267,37,92.1199646
36.328125,46,56.9549561,2.230278,37,92.1199646
40.234375,45,57.0076561,2.23234177,37,92.1199646
32.03125,44,57.014183,2.23259735,37,92.1199646
12.5,45,56.7026443,2.220398,37,92.1199646
14.0625,44,56.6327972,2.21766281,37,92.1199646
11.328125,44,56.6352348,2.21775818,37,92.1199646
23.4375,47,56.96869,2.230816,37,92.1199646
21.875,44,56.7777557,2.223339,37,92.1199646
19.140625,45,57.230545,2.24106979,37,92.1199646
12.5,44,56.7638245,2.22279358,37,92.1199646
13.28125,44,56.7702522,2.22304535,37,92.1199646
17.6923027,44,56.65384,2.21848679,37,92.1199646
17.578125,44,56.8108749,2.224636,37,92.1199646
16.9230766,44,56.79607,2.22405624,37,92.1199646
16.1538486,46,56.761776,2.22271347,37,92.1199646
10.15625,43,56.76782,2.22295,37,92.1199646
15.234375,46,56.68297,2.21962738,37,92.1199646
14.6153812,44,56.81643,2.22485352,37,92.1199646
15.7692318,44,56.74697,2.22213364,37,92.1199646
18.75,46,56.5928574,2.21609879,37,92.1199646
18.359375,45,56.73489,2.22166061,37,92.12019
13.4615364,44,56.7651863,2.222847,37,92.12019
12.3076916,46,56.59734,2.21627426,37,92.12019
14.6153812,44,56.53782,2.21394348,37,92.12019
21.875,46,57.2071648,2.24015427,37,92.12019
17.6923027,44,56.89251,2.22783279,37,92.12019
12.6923084,43,56.7757072,2.223259,37,92.12019
13.28125,46,56.9433632,2.229824,37,92.12019
15.3846149,46,56.8157463,2.22482681,37,92.12019
16.796875,43,56.8271446,2.22527313,37,92.12019
19.921875,45,56.7374229,2.2217598,37,92.12019
21.1538429,46,56.70927,2.22065735,37,92.12019
32.03125,45,56.7603149,2.22265625,37,92.12019
20.7692261,46,57.1983,2.23980713,37,92.12019
20.3125,46,56.81838,2.22492981,37,92.12019
19.921875,44,57.0738029,2.234932,37,92.12019
19.140625,45,56.9092674,2.228489,37,92.12019
30.859375,47,56.7743454,2.22320557,37,92.12019
19.921875,45,56.781456,2.223484,37,92.12019
23.046875,43,56.8004532,2.224228,37,92.12019
18.359375,45,56.65764,2.21863556,37,92.12019
27.34375,45,56.82305,2.225113,37,92.12019
18.359375,45,56.7346,2.22164917,37,92.12019
25.78125,46,56.78009,2.22343063,37,92.12019
26.171875,43,56.6099052,2.21676636,37,92.12019
10.546875,43,56.5670433,2.215088,37,92.12019
8.203125,43,56.71609,2.22092438,37,92.12019
10.546875,43,56.7757072,2.223259,37,92.12019
5.769229,43,56.75262,2.222355,37,92.12019
3.90625,43,56.4624176,2.210991,37,92.12019
3.125,42,56.44196,2.21018982,38,92.12024
6.640625,43,56.3888664,2.20811081,38,92.12024
3.46153975,43,56.3461,2.20643616,38,92.12024
9.375,46,56.2883339,2.204174,38,92.12024
11.9230747,43,56.26622,2.203308,38,92.12024
25.390625,45,56.3353844,2.20601654,38,92.12024
24.609375,46,56.1159058,2.197422,38,92.12024
21.484375,47,56.1711426,2.199585,38,92.12024
46.1538429,44,56.4825821,2.21178055,38,92.12024
18.75,45,56.4982643,2.21239471,38,92.12024
27.734375,45,56.55155,2.21448135,38,92.12024
20.3125,44,56.73255,2.221569,38,92.12024
29.296875,44,56.978138,2.231186,38,92.12024
14.6153812,43,56.19082,2.20035553,38,92.12024
27.6923065,45,56.0482979,2.19477463,38,92.12024
29.61538,45,56.3795166,2.2077446,38,92.12024
36.15384,45,56.435627,2.20994186,38,92.12024
23.4375,45,56.32438,2.20558548,38,92.12024
20.703125,47,56.4255943,2.209549,38,92.12024
22.65625,45,56.14513,2.19856644,38,92.12024
23.828125,43,56.2026062,2.200817,38,92.12024
3.125,43,56.441082,2.21015549,38,92.12024
3.125,43,56.41254,2.20903778,38,92.12024
8.984375,43,56.5986061,2.21632385,38,92.12024
19.53125,43,56.6669922,2.21900177,38,92.12024
5.46875,43,56.64205,2.21802521,38,92.12024
13.0769253,46,56.6051331,2.21657944,38,92.12024
16.53846,43,56.5601273,2.214817,38,92.12024
30.0000019,45,56.452774,2.21061325,38,92.12024
12.5,43,56.216732,2.20137024,38,92.12024
38.28125,45,56.2690468,2.20341873,38,92.12031
10.546875,44,56.0500526,2.19484329,38,92.12031
13.671875,45,55.85795,2.18732071,38,92.12031
33.07692,46,56.4371872,2.210003,38,92.12031
23.0769157,43,56.30012,2.20463562,38,92.12031
25,46,56.3526268,2.20669174,38,92.12031
21.484375,43,56.1122055,2.197277,38,92.12031
15.625,44,56.0247231,2.19385147,38,92.12031
8.984375,46,56.1237,2.1977272,38,92.12031
23.4375,43,56.1445465,2.19854355,38,92.12031
21.875,44,56.3991928,2.20851517,38,92.12031
33.8461533,47,56.69164,2.219967,38,92.12031
22.265625,44,56.4932976,2.21220016,38,92.12031
25,46,56.2584267,2.203003,38,92.12031
32.8125,45,56.2550163,2.20286942,38,92.12031
22.65625,46,56.525444,2.213459,38,92.12031
39.0625,46,56.36432,2.20714951,38,92.12031
30.078125,45,56.3215523,2.20547485,38,92.12031
